"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","company_industry","company_url","company_url_direct","company_addresses","company_num_employees","company_revenue","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type","searched_site","searched_location","search_term"
"in-7fd4e99dbd3da66e","indeed","https://www.indeed.com/viewjob?jk=7fd4e99dbd3da66e","http://www.indeed.com/job/senior-software-engineer-7fd4e99dbd3da66e","Senior Software Engineer","UDCYDE","Remote, US","2026-08-03","fulltime","direct_data","yearly",120000.0,150000.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Udcyde","","","","","","","","","","","indeed","Remote","junior software engineer"
"in-69c0640abbd7f85e","indeed","https://www.indeed.com/viewjob?jk=69c0640abbd7f85e","https://grnh.se/u4su3flm1us","Forward Deployed AI Engineer","Celigo","Remote, US","2026-08-02","","direct_data","yearly",145000.0,160000.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Celigo","http://www.celigo.com","Redwood City, CA","501 to 1,000","Decline to state","","","","","","","indeed","Remote","junior software engineer"
"in-7b76a75d4f08195e","indeed","https://www.indeed.com/viewjob?jk=7b76a75d4f08195e","https://careers-americas.icims.com/jobs/25789/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f","Principal Engineer","Atlassian","Seattle, WA, US","2026-08-01","","direct_data","yearly",174051.0,273775.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Atlassian","https://www.atlassian.com","Sydney","10,000+","Decline to state","","","","","","","indeed","Seattle, WA","junior software engineer"
"in-f33c8e2c872f7089","indeed","https://www.indeed.com/viewjob?jk=f33c8e2c872f7089","https://grnh.se/6e925sfi9us","Sr. Protection & Control Engineer (PE) Power & Utilities","MEADE ENGINEERING","Austin, TX, US","2026-07-31","","direct_data","yearly",129000.0,162000.0,"USD",True,"","","","recruiting@meadeengineering.com","","https://www.indeed.com/cmp/Meade-Engineering","https://meadeengineering.com/","80 E Rio Salado Pkwy.
Suite 500
Tempe, AZ 85281","51 to 200","$25M to $100M (USD)","","","","","","","indeed","Austin, TX","junior software engineer"
"in-9dec179a6d331eaf","indeed","https://www.indeed.com/viewjob?jk=9dec179a6d331eaf","https://brightvisiontechnologies.applytojob.com/apply/iQ4nqClYHH/Boomi-Middleware-Engineer?source=INDE&~","Boomi Middleware Engineer","BV Teck","Remote, US","2026-07-31","fulltime","direct_data","yearly",100000.0,150000.0,"USD",True,"","","","Harry@bvteck.com","","https://www.indeed.com/cmp/Bv-Teck","http://WWW.BVTECK.COM","#991 Route 22 West, Suite 200,
Bridgewater, New Jersey - 08807","51 to 200","$25M to $100M (USD)","","","","","","","indeed","Remote","junior software engineer"
"in-74bc38f2f96a079f","indeed","https://www.indeed.com/viewjob?jk=74bc38f2f96a079f","https://brightvisiontechnologies.applytojob.com/apply/q3MT793DDz/Go-Applications-Engineer?source=INDE&~","Go Applications Engineer","BV Teck","Remote, US","2026-07-31","fulltime","direct_data","yearly",130000.0,145000.0,"USD",True,"","","","Harry@bvteck.com","","https://www.indeed.com/cmp/Bv-Teck","http://WWW.BVTECK.COM","#991 Route 22 West, Suite 200,
Bridgewater, New Jersey - 08807","51 to 200","$25M to $100M (USD)","","","","","","","indeed","Remote","junior software engineer"
"in-e258412a2611d1ab","indeed","https://www.indeed.com/viewjob?jk=e258412a2611d1ab","https://www.governmentjobs.com/careers/mapc/jobs/5432912/arts-and-culture-data-planning-intern","Arts and Culture Data & Planning Intern","Metropolitan Area Planning Council","Boston, MA, US","2026-07-31","parttime, fulltime, internship","direct_data","hourly",18.0,23.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Metropolitan-Area-Planning-Council","https://www.mapc.org/","60 Temple Street
Boston, MA 02111","51 to 200","","","","","","","","indeed","Boston, MA","software developer internship"
"in-0dc0ad2e61467b54","indeed","https://www.indeed.com/viewjob?jk=0dc0ad2e61467b54","https://jobs.dayforcehcm.com/en-US/sarnova/CANDIDATEPORTAL/jobs/1270","Dynamics 365 F&O Technical Engineer - Remote - Sarnova","Sarnova HC, LLC","Remote, US","2026-07-31","fulltime","","","","","",True,"","","","","","https://www.indeed.com/cmp/Sarnova-Hc,-LLC","http://www.sarnova.com/","5000 Tuttle Blvd
Dublin Ohio 43016","1,001 to 5,000","$1B to $5B (USD)","","","","","","","indeed","Remote","junior software engineer"
"in-a673fbf7f46cc9dc","indeed","https://www.indeed.com/viewjob?jk=a673fbf7f46cc9dc","https://www.gdit.com/careers/job/e344f1d75/senior-api-microservices-developer/","Senior API / Microservices Developer","General Dynamics Information Technology","Remote, US","2026-07-31","","direct_data","yearly",112840.0,132250.0,"USD",True,"","","","","","https://www.indeed.com/cmp/General-Dynamics-Information-Technology","http://www.gdit.com","Falls Church, VA","10,000+","more than $10B (USD)","","","","","","","indeed","Remote","junior software engineer"
"in-00b579508bad1544","indeed","https://www.indeed.com/viewjob?jk=00b579508bad1544","https://careers.arthrex.com/NorthAmerica/job/Software-Applications-Engineer-Remote/1368303557/","Software Applications Engineer","Arthrex","Remote, US","2026-07-31","","","","","","",True,"","","","","","https://www.indeed.com/cmp/Arthrex","https://arthrex.com/","Naples, FL","5,001 to 10,000","$500M to $1B (USD)","","","","","","","indeed","Remote","junior software engineer"
"in-d1972e127bb15f82","indeed","https://www.indeed.com/viewjob?jk=d1972e127bb15f82","http://www.indeed.com/job/quality-analyst-d1972e127bb15f82","Quality Analyst","LawAccounting LLC","Remote, US","2026-07-31","parttime, fulltime, contract","direct_data","yearly",60000.0,70000.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Lawaccounting-LLC","","","","","","","","","","","indeed","Remote","junior software engineer"
"in-80684dfae7e2517d","indeed","https://www.indeed.com/viewjob?jk=80684dfae7e2517d","https://app.jobvite.com/CompanyJobs/Job.aspx?j=oAuzAfwX&s=Indeed","Sr. Quality Assurance Engineer","Synergy BIS","Remote, US","2026-07-31","fulltime","direct_data","yearly",106500.0,152260.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Synergy-Bis","https://www.synergybis.com/","Reston, VA","501 to 1,000","$100M to $500M (USD)","","","","","","","indeed","Remote","junior software engineer"
"in-605b55ec3731ad5a","indeed","https://www.indeed.com/viewjob?jk=605b55ec3731ad5a","https://grnh.se/mi2soi8b4us","IGA Architect - Saviynt (Remote in the US)","GuidePoint Security","Remote, US","2026-07-31","","","","","","",True,"","","","","Internet And Software","https://www.indeed.com/cmp/Guidepoint-Security","https://www.guidepointsecurity.com","Herndon","51 to 200","$25M to $100M (USD)","","","","","","","indeed","Remote","junior software engineer"
"in-a95abf8af48a4a2b","indeed","https://www.indeed.com/viewjob?jk=a95abf8af48a4a2b","http://www.indeed.com/job/project-manager-a95abf8af48a4a2b","Project Manager","Biz4Group","Remote, US","2026-07-31","temporary, contract","direct_data","hourly",20.0,30.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Biz4group","http://www.biz4group.com","Orlando","11 to 50","","","","","","","","indeed","Remote","software engineer internship"
"in-ed7a4be4cae405dd","indeed","https://www.indeed.com/viewjob?jk=ed7a4be4cae405dd","https://careers-lmi.icims.com/jobs/14367/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f","Junior Platform Engineer","LMI","Remote, US","2026-07-30","","","","","","",True,"","","","","","https://www.indeed.com/cmp/Lmi","","","","","","","","","","","indeed","Remote","junior software engineer"
"in-cb36e94b63c0b69f","indeed","https://www.indeed.com/viewjob?jk=cb36e94b63c0b69f","https://grnh.se/j7h9q6td3us","Principal Engineer Motion Planning","Motional","Boston, MA, US","2026-07-30","","direct_data","yearly",240000.0,330000.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Motional","https://www.motional.com","Boston, MA","501 to 1,000","Decline to state","","","","","","","indeed","Boston, MA","junior software engineer"
"in-0507ddc61a9b1b9a","indeed","https://www.indeed.com/viewjob?jk=0507ddc61a9b1b9a","https://explore.enercon.com/jobs/4178/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f","Geotechnical Engineer","ENERCON SERVICES, INC","Remote, US","2026-07-30","fulltime","direct_data","yearly",130000.0,180000.0,"USD",True,"","","","recruiting@enercon.com","","https://www.indeed.com/cmp/Enercon-Services,-Inc","https://www.enercon.com/","Kennesaw, GA","1,001 to 5,000","$100M to $500M (USD)","","","","","","","indeed","Remote","junior software engineer"
"in-0f5d29ba53f7ee29","indeed","https://www.indeed.com/viewjob?jk=0f5d29ba53f7ee29","http://www.indeed.com/job/net-software-engineer-0f5d29ba53f7ee29",".NET Software Engineer","Pell Software, LLC","Remote, US","2026-07-30","parttime, fulltime, contract","direct_data","yearly",90000.0,120000.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Pell-Software,-LLC","","","","","","","","","","","indeed","Remote","junior software engineer"
